gene	01_ctrl	02_ctrl	03_ctrl	04_ctrl	05_tx	06_tx	07_tx	08_tx
Lactb2	549	672	811	665	642	662	670	537
Xkr9	0	0	0	0	0	0	0	0
Gm26273	0	0	0	0	0	0	0	0
Gm5523	1	0	0	0	1	1	1	0
Gm31195	0	0	0	0	0	0	0	0
Gm39596	0	0	0	0	0	0	0	0
Eya1	0	0	1	0	1	2	2	1
Msc	0	1	4	1	2	0	2	0
Gm9947	0	0	0	0	0	0	0	0
Trpa1	0	0	0	0	0	0	0	0
Kcnb2	0	0	0	0	0	0	2	1
Gm51415	0	0	0	2	0	3	0	3
Gm51616	0	0	0	0	0	0	0	0
Gm51617	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0
Terf1	251	262	370	287	323	262	293	259
Sbspon	0	0	0	1	0	4	0	1
Gm31523	0	0	0	0	0	0	0	0
4930444P10Rik	0	2	1	0	2	0	0	0
Rpl7	30253	26261	30911	26816	25917	26790	31670	27111
Rdh10	96	28	84	107	65	92	99	103
Stau2	18	2	12	4	17	2	6	2
Gm7568	0	0	0	0	0	0	0	0
C130013N14Rik	0	0	0	0	0	0	0	0
Ube2w	536	425	459	463	486	504	408	411
Eloc	2682	2677	2822	2777	2892	2911	2678	2485
D030040B21Rik	0	0	0	0	0	1	0	0
Tmem70	1096	991	923	976	1034	1138	1030	1078
Ly96	17	8	20	15	2	7	10	8
Jph1	2	2	9	12	4	0	0	2
Gm46085	0	0	0	0	0	0	0	0
Gm31982	0	0	0	0	0	0	0	0
Gm28783	0	0	0	0	0	0	0	0
Gdap1	0	0	0	0	0	0	1	0
Gm28784	0	0	0	0	0	0	0	0
Gm39597	0	0	0	0	0	0	0	0
Pi15	1	4	1	2	2	2	3	4
Gm28154	0	0	0	0	0	0	0	0
Gm16070	0	0	0	0	0	0	0	0
Crispld1	0	0	0	0	0	1	0	0
Crisp4	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0
Gm15825	0	0	1	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0
Tfap2b	0	0	0	0	0	0	0	0
Gm32651	0	0	0	0	0	0	0	0
Pkhd1	0	0	1	0	0	0	0	0
4930486I03Rik	0	0	0	0	0	0	0	0
Gm24162	0	0	0	0	0	0	0	0
Lincmd1	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0
Il17a	21	14	13	8	9	4	9	5
Il17f	10	6	0	9	0	16	16	1
Mcm3	14303	13847	14869	13539	13196	13398	14103	11984
Gm24723	0	0	0	0	0	0	0	0
6720483E21Rik	0	0	0	5	0	1	0	0
Paqr8	20	54	34	43	37	26	36	12
Gm24171	0	0	0	0	0	0	0	0
Gm51618	0	0	0	0	0	0	0	0
Efhc1	4	1	3	2	2	1	5	1
Tram2	4	0	4	6	2	0	1	0
Tmem14a	15	16	14	25	17	6	15	26
Gm32947	0	0	0	0	0	0	0	0
Gm28836	0	0	0	0	0	0	0	0
Gsta3	18	19	26	30	12	20	20	16
Gm4956	4	5	1	6	4	6	0	4
Khdc1a	0	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0	0	0
Gm33147	0	0	0	0	0	0	0	0
Khdc1b	0	0	0	0	0	0	1	0
Kcnq5	255	239	284	252	292	265	150	231
Rims1	0	0	0	0	0	0	0	0
Gm7759	0	0	0	0	0	0	0	0
Ppp1r14bl	0	0	0	0	0	0	0	0
Gm30442	0	0	0	0	0	0	0	0
Gm29506	0	0	0	0	0	0	0	0
Mir30a	0	0	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0	0	0
Ogfrl1	219	157	206	144	232	252	197	153
Gm19673	0	0	0	0	0	0	0	0
Gm28822	0	0	0	0	0	0	0	0
B3gat2	0	0	0	0	0	0	0	0
Smap1	1051	1191	1067	1013	917	918	1117	755
Gm53062	0	0	0	0	5	0	0	0
Sdhaf4	209	206	249	215	170	227	180	207
Fam135a	9	11	22	24	18	14	8	9
Col9a1	0	0	0	0	0	0	0	0
Col19a1	0	0	0	0	0	0	0	0
Gm26418	0	0	0	0	0	0	0	0
Lmbrd1	242	272	332	170	239	270	250	237
Gm29414	0	0	0	0	0	0	0	0
Adgrb3	0	0	0	0	0	0	0	0
Gm20172	0	0	0	0	0	0	0	0
Gm22260	0	0	0	1	0	0	0	0
Gm25294	0	0	0	0	0	0	0	0
Gm9884	0	0	0	0	0	0	0	0
Gm53060	0	0	0	0	0	0	0	0
Gm39614	0	0	0	0	0	0	0	0
Gm31076	0	0	0	0	0	0	0	0
Gm31136	0	0	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	0	0	0	0
Gm5524	0	0	0	0	0	0	0	0
Gm597	0	0	0	0	0	0	0	0
Gm45942	0	0	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0	0	0
Gm31465	0	0	0	0	0	0	0	0
Gm31525	0	0	0	0	0	0	0	0
Gm31581	0	0	0	0	0	0	0	0
Gm39615	0	0	0	0	0	0	0	1
LOC115487655	0	0	0	0	0	0	0	0
Phf3	2684	2443	2743	2442	2330	2151	2242	1903
Gm7256	3	0	3	0	0	0	0	0
Ptp4a1	82	55	54	123	90	70	107	76
LOC115487084	0	7	0	0	6	5	0	5
Gm29669	0	0	0	0	0	0	0	0
Gm28644	0	0	0	0	0	0	0	0
4931428L18Rik	0	0	0	0	0	0	0	0
Lgsn	0	0	0	0	0	0	0	0
Dnaaf6	0	0	0	0	0	0	0	0
Gm26145	0	0	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0	0	0
LOC115487662	0	0	0	0	0	0	0	0
Gm23032	0	0	0	0	0	0	0	0
Gm51754	0	0	0	0	0	0	0	0
Khdrbs2	0	0	0	0	0	0	0	0
Gm25814	0	0	0	0	0	0	0	0
Gm9839	0	0	0	0	0	0	0	0
Gm5415	0	0	0	0	0	0	0	0
Gm24732	0	0	0	0	0	0	0	0
Gm39616	0	0	0	0	0	0	0	0
Gm24901	0	0	0	0	0	0	0	0
Gm39617	0	0	0	0	0	0	0	0
Gm25792	0	0	0	0	0	0	0	0
Gm23453	0	0	0	0	0	0	0	0
Prim2	647	559	574	523	486	520	543	448
1700001G17Rik	0	0	0	0	5	7	0	0
Gm32229	0	1	9	0	0	0	0	0
Rab23	135	107	165	120	180	199	180	96
Bag2	513	436	587	669	578	728	623	574
Zfp451	1179	973	1246	918	1057	1086	1018	904
Gm15455	1	0	7	4	9	1	2	1
Bend6	10	1	1	5	8	2	1	1
Gm38471	0	0	0	0	0	0	0	0
Dst	172	209	198	126	169	132	114	103
Mir6896	0	0	0	0	0	0	0	0
Gm51742	0	0	0	0	0	0	0	0
Gm26788	0	0	0	2	0	0	0	0
Mir5103	0	0	0	0	0	0	0	0
n-TEttc1	0	2	15	15	8	0	12	1
Ccdc115	1091	1114	1096	1127	1121	1116	1238	1146
Imp4	2640	2450	2618	2693	2557	2534	2439	2315
Gm32504	0	1	8	3	0	0	0	2
Ptpn18	989	996	924	1107	1076	990	1076	1070
4930568A12Rik	14	20	6	9	4	3	4	6
Gm32566	11	3	0	6	4	10	0	0
Prss39	0	0	0	0	0	0	0	0
Cfc1	0	0	0	0	0	0	0	0
Prss40	0	0	0	0	0	0	0	0
Amer3	0	0	0	0	0	0	0	0
AA619741	0	0	0	0	0	0	0	0
Gm38647	0	0	0	0	0	0	0	0
Arhgef4	42	29	33	37	30	33	47	25
Gm32920	0	0	0	0	0	0	0	0
Gm32790	0	8	5	1	13	19	3	17
Fam168b	1195	1141	1318	1355	1063	1143	1272	948
Plekhb2	548	517	575	504	503	567	631	546
Gm25096	0	0	0	0	0	0	0	0
Gm25634	0	0	0	0	0	0	0	0
1110002O04Rik	0	0	0	0	0	0	0	0
Gm33176	0	0	5	2	0	0	10	1
Gm39622	0	0	0	0	0	0	0	0
Gm33222	0	0	0	0	0	0	0	0
Gm39623	0	0	0	0	0	0	0	0
Gm39624	0	0	0	0	0	0	0	0
Hs6st1	485	426	467	514	469	484	509	453
Gm33280	0	0	0	0	0	0	0	0
Uggt1	2249	2249	2222	1939	2174	2182	2476	2113
Mir6897	0	0	0	0	0	0	0	0
Gm39625	0	0	0	7	0	0	3	0
Neurl3	63	28	40	52	23	37	52	43
Arid5a	895	1017	908	801	707	585	627	625
Kansl3	648	702	607	583	631	515	527	492
Mir6898	0	0	0	0	2	3	0	0
Fer1l5	0	0	0	0	0	0	0	0
Lman2l	253	194	237	181	192	243	182	137
Gm33401	0	0	0	0	0	0	0	0
Gm33454	14	3	5	17	12	6	4	29
Cnnm4	131	151	116	155	104	163	128	76
Cnnm3	680	645	722	674	484	676	739	746
Ankrd23	335	188	247	220	263	253	232	239
Ankrd39	129	171	166	119	138	197	248	198
Sema4c	288	226	305	212	273	262	329	232
Fam178b	0	0	0	0	1	0	1	0
Cox5b	3762	3548	4183	3723	3612	3553	4157	3550
Actr1b	1187	1116	1049	1073	1118	1128	1175	988
Gm33533	0	0	0	1	0	2	1	0
4933424G06Rik	0	0	0	0	0	0	0	0
Zap70	1358	1160	1248	1303	1314	1131	1338	1246
Tmem131	498	422	393	433	457	519	383	364
Vwa3b	9	1	2	1	0	3	1	0
Gm39626	0	0	0	0	0	0	0	0
Gm37020	0	0	0	0	0	0	0	0
Cnga3	0	0	0	0	0	0	0	0
Inpp4a	47	57	36	26	15	23	4	29
4930439A04Rik	0	0	0	0	0	0	0	0
Coa5	1489	1593	1356	1631	1622	1545	1738	1646
Unc50	283	431	354	310	366	329	342	277
Mgat4a	257	348	212	298	273	245	259	231
4930594C11Rik	83	68	54	36	44	53	45	51
Gm39627	0	0	0	3	0	0	0	1
Cracdl	4	12	5	4	4	6	3	8
4930556I23Rik	0	0	0	19	0	0	0	0
4930470B04Rik	0	0	0	0	0	0	0	0
Gm39628	0	0	0	0	0	0	0	0
Tsga10	6	10	10	4	6	13	9	3
Lipt1	249	233	294	242	273	295	242	219
Mitd1	958	999	977	812	980	851	919	752
Mrpl30	1888	1726	2167	1979	1845	1730	2178	2033
Lyg2	0	0	0	0	0	0	0	0
Lyg1	0	0	0	0	0	0	0	0
Txndc9	1963	1841	1988	2025	2025	2035	1970	1724
Eif5b	19844	17295	19581	17958	18326	16569	18489	16443
Gm34448	0	0	0	0	0	0	0	0
Rev1	452	385	326	476	436	451	506	389
Gm5099	0	0	0	0	0	0	0	0
Aff3	955	815	702	788	827	735	775	711
Gm16150	0	12	0	0	0	0	0	0
Gm34596	0	0	1	0	0	0	1	0
LOC115487659	0	0	0	0	0	0	0	0
Lonrf2	0	0	0	0	1	0	0	0
Chst10	178	169	119	136	150	135	225	150
Gm51581	3	6	0	1	12	2	23	4
Nms	0	0	0	0	0	0	0	0
Gm35171	0	0	0	0	0	0	0	0
Pdcl3	268	274	296	364	429	324	258	249
Gm35222	0	0	0	0	0	0	0	0
Mir6349	0	0	0	0	0	0	0	0
Npas2	0	13	2	1	9	2	7	2
Rpl31	18300	18605	18323	18090	15677	15650	17741	15692
Tbc1d8	30	4	3	2	13	4	5	3
Gm24826	0	0	0	0	0	0	0	0
Cnot11	604	525	698	533	568	513	695	533
Snord89	3112	2667	3295	2639	1897	2177	2111	1666
Rnf149	1166	1163	1054	1154	989	964	1304	1106
LOC115485772	0	0	0	0	0	0	0	0
Gm51620	0	0	0	0	0	0	0	0
Creg2	7	1	0	1	1	0	0	0
D930019O06Rik	0	0	0	0	0	0	0	0
Rfx8	0	0	0	0	0	0	0	0
Gm3646	0	0	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0	0	0
Gm35600	0	0	0	0	0	0	0	0
Map4k4	3291	3237	3684	3098	2857	2792	2865	2587
Gm16894	9	4	9	19	7	11	3	0
Il1r2	1	5	3	8	3	14	1	3
Gm35741	0	0	0	0	0	0	0	0
Il1r1	24	9	47	12	17	21	20	20
Il1rl2	85	44	70	43	53	31	54	24
Il1rl1	10	0	2	9	12	2	12	4
Il18r1	135	78	120	129	150	133	108	133
Il18rap	133	148	116	130	94	61	116	77
Gm35801	0	0	0	0	0	0	0	0
Slc9a4	2	4	2	0	0	1	1	0
Slc9a2	0	0	0	0	0	5	0	0
Gm37915	0	0	0	0	0	0	0	0
Mfsd9	13	5	32	29	21	32	8	15
Tmem182	0	1	1	2	1	0	1	0
4930448I06Rik	0	0	0	0	0	0	0	0
Gm39631	0	0	0	0	0	0	0	0
Gm35935	0	0	0	0	0	0	0	0
Gm29260	0	0	0	0	0	0	0	0
Gm28175	0	0	0	0	0	0	0	0
Gm46088	0	0	0	0	0	0	0	0
Gm36678	0	0	0	0	0	0	0	0
Gm46089	0	0	0	0	0	0	0	0
Gm36822	0	0	0	0	0	0	0	0
Gm30248	0	0	0	0	0	0	0	0
Pantr1	0	0	0	0	0	0	0	0
Gm46091	0	0	0	0	0	0	0	0
Pou3f3	0	0	0	0	0	0	0	0
2900092D14Rik	0	0	0	0	0	0	0	0
Pantr2	0	0	0	0	0	0	0	0
Dalir	0	0	0	0	0	0	0	0
Mrps9	1279	1431	1364	1299	1190	1094	1387	1126
Gm23126	0	0	0	0	0	0	0	0
Gm39633	0	0	0	0	0	0	0	0
Gpr45	0	0	0	0	0	0	0	0
Tgfbrap1	371	316	329	307	282	258	341	277
Gm28782	0	0	0	0	0	0	0	0
8430432A02Rik	2	0	0	0	0	0	3	0
AI597479	359	453	331	444	353	333	367	308
Fhl2	46	46	33	61	78	31	46	28
Gm29040	0	0	0	0	0	0	0	0
LOC115487086	0	0	0	0	0	0	0	0
Nck2	220	187	154	153	180	178	187	115
Gm38628	0	0	0	0	0	0	0	0
Gm30634	0	0	0	0	0	0	0	0
Ecrg4	0	0	0	0	1	1	0	1
Uxs1	885	913	857	854	1002	806	883	882
Tpp2	2427	2255	2356	2253	2347	2385	2240	2036
Mettl21c	0	0	0	0	0	0	0	0
Gm8251	220	249	200	307	197	182	211	169
Tex30	1214	1183	1314	1363	1176	1463	1410	1223
Poglut2	425	421	458	431	466	454	352	443
Bivm	166	190	165	133	113	239	93	126
Ercc5	340	197	319	354	327	295	341	254
Mettl21e	2	1	1	0	0	0	0	1
Gm28893	0	0	0	0	0	0	0	0
Gm39635	0	0	0	0	0	0	0	0
Gulp1	2	1	1	0	1	5	2	0
4930521E06Rik	0	0	0	0	0	0	0	0
Col3a1	119	101	100	115	87	124	117	96
Col5a2	18	27	19	23	17	11	15	19
Gm39637	0	0	0	0	0	0	0	0
Gm23216	0	0	0	0	0	0	0	0
Gm51621	0	0	0	0	0	0	0	0
Gm23974	0	0	0	0	0	0	0	0
Wdr75	4453	4653	4255	4430	4371	4357	4653	3832
Gm30900	0	0	0	0	0	0	0	0
Slc40a1	0	1	0	0	2	2	1	3
Stk-ps2	0	0	0	0	0	0	0	0
Dnah7b	2	1	3	1	4	0	0	1
Gm31046	0	0	0	0	0	0	0	0
n-R5s211	0	0	0	2	0	0	0	0
Dnah7c	0	0	0	1	0	0	0	0
Slc39a10	641	702	767	652	820	797	697	537
Gm39638	0	0	0	0	0	0	0	0
Gm39639	0	0	0	0	0	0	0	0
Mir6350	0	0	0	0	0	0	0	0
C230029F24Rik	0	0	0	0	0	0	0	0
Gm39640	0	0	0	0	0	0	0	0
Gm28321	0	0	0	0	0	0	0	0
Tmeff2	2	0	2	1	2	1	1	1
9330175M20Rik	0	0	0	0	0	0	0	0
Cavin2	159	134	115	158	125	146	152	129
Nabp1	1539	1523	1729	1535	1345	1340	1564	1225
Gm17767	0	0	0	0	0	0	13	1
Gm31636	0	0	0	0	0	0	0	0
Myo1b	33	40	56	38	34	55	50	33
Gm33795	0	0	0	0	0	0	0	0
Stat4	1070	1022	1262	1085	996	1029	1150	882
Gm31812	0	0	0	3	0	0	0	0
Stat1	1149	1052	1071	1140	932	844	1015	818
Gls	4206	3722	3912	3920	4233	4184	4025	3532
Gm31867	0	0	0	0	0	0	0	0
Gm31955	0	0	0	0	0	0	0	0
Gm23460	0	0	0	0	0	0	0	0
Nab1	1759	1342	1664	1667	1505	1296	1381	1288
Gm553	0	1	0	0	0	0	0	0
Nemp2	81	84	90	55	60	58	67	46
Gm28178	0	0	0	0	0	0	0	0
Mfsd6	424	465	487	341	295	324	373	309
Inpp1	104	133	111	191	85	69	84	57
Hibch	161	90	157	114	84	168	140	132
1700019D03Rik	5	16	0	1	0	0	0	4
Mstn	0	0	0	0	0	0	0	0
1700019A02Rik	15	2	4	0	0	2	0	5
Pms1	433	478	332	366	412	436	387	302
Ormdl1	207	236	273	298	257	157	292	257
Osgepl1	159	147	197	150	125	69	89	130
Asnsd1	727	969	934	986	839	991	917	790
Asdurf	0	0	0	0	0	0	0	0
Dnah7a	1	1	1	1	1	2	2	1
Gm32311	0	0	0	0	0	0	0	0
Stk17b	966	966	1178	1036	984	1078	995	912
Hecw2	7	7	7	10	5	6	3	5
Mir7681	0	0	0	0	0	0	0	0
Gm51622	0	0	0	0	0	0	0	0
Gm25829	0	0	0	0	0	0	0	0
Ccdc150	1	1	1	6	0	0	0	0
Gtf3c3	374	374	432	364	354	375	260	402
Gm34066	0	0	0	0	0	0	0	0
Pgap1	92	124	72	88	67	65	85	82
Gm51623	0	0	0	0	0	0	0	0
Ankrd44	602	543	719	762	724	637	836	648
4930444A19Rik	0	0	0	0	0	0	0	0
Sf3b1	7013	7278	6613	7083	6690	6385	7240	6077
Coq10b	150	245	270	195	194	233	213	222
Hspd1	21523	22918	22543	20574	20371	18969	19834	16286
Hspe1	16689	17228	17033	17111	16024	16371	16883	15336
Mob4	857	740	741	801	881	852	749	679
Rftn2	40	35	24	19	8	42	46	16
Gm51743	2	0	0	0	0	0	0	0
Gm10561	0	0	0	0	0	0	0	0
Mars2	347	325	228	317	324	329	327	265
Boll	23	53	53	69	30	22	67	20
Plcl1	44	6	25	24	11	13	8	3
Gm6644	1	1	0	0	0	1	1	0
Gm39642	0	0	0	0	0	0	0	0
Gm32949	0	0	0	0	0	0	0	0
9130227L01Rik	0	0	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0	0	0
Hsfy2	0	0	0	0	0	0	0	0
Satb2	2	0	6	0	0	0	1	1
Gm51624	0	0	0	0	0	0	0	0
9130024F11Rik	0	0	0	0	0	1	0	0
Gm38484	0	0	0	0	0	0	0	0
1700126A01Rik	0	0	0	0	0	0	0	0
BC055402	0	0	0	0	0	0	0	0
4930558J18Rik	96	67	96	73	75	43	92	53
1700066M21Rik	53	81	73	93	37	29	40	57
Tyw5	253	281	294	203	239	308	241	208
Maip1	457	404	427	459	412	440	445	320
Gm22371	0	0	0	0	0	0	0	0
LOC115487664	0	0	0	0	0	0	0	0
Spats2l	12	16	7	11	7	9	4	9
LOC115487684	0	0	0	0	0	0	0	0
Kctd18	132	94	130	109	178	134	98	108
Sgo2a	756	621	836	591	713	762	792	541
Aox1	2	1	0	1	2	1	1	4
Aox3	8	10	5	4	5	9	6	10
Gm39643	0	0	0	0	0	0	0	0
Aox4	0	0	0	0	0	0	0	0
Aox2	4	0	0	0	0	0	0	0
Gm15759	0	0	0	0	0	0	0	0
Gm39644	0	0	0	0	0	0	0	5
Bzw1	9409	8374	8653	9345	8683	7773	8493	7473
Clk1	1379	1366	1503	1235	943	907	1056	814
Ppil3	678	682	573	537	513	712	566	495
Nif3l1	541	464	525	492	489	450	500	400
Orc2	3414	3183	3026	2970	2897	2946	3078	2722
Gm23966	0	12	1	0	1	3	0	0
Gm15834	224	133	167	105	131	137	187	147
Fam126b	688	911	745	651	557	610	813	580
Ndufb3	1517	1835	1682	1830	1615	1713	1867	1541
Gm20257	22	21	29	25	9	16	30	15
Flacc1	0	0	0	0	0	0	0	0
Cflar	1384	1209	1446	1386	952	1035	1150	933
Gm39646	0	0	0	0	0	0	0	0
Casp8	1122	1085	1008	1007	1016	919	830	761
Gm28802	0	0	0	0	0	0	0	0
Trak2	601	743	728	716	644	726	734	632
Stradb	26	33	42	29	46	53	42	33
C2cd6	0	0	10	0	0	0	0	2
Gm29018	0	0	0	0	0	0	0	0
Gm25502	0	0	0	0	0	0	0	0
Tmem237	362	382	343	325	355	344	381	321
Mpp4	6	0	0	0	3	0	0	0
Als2	120	148	131	81	94	95	66	90
Gm33667	0	13	0	2	0	1	8	3
Cdk15	0	2	0	12	0	0	0	0
Gm51625	0	0	0	0	0	0	0	0
Gm33724	1	0	0	0	0	0	0	0
Gm33774	0	0	0	0	0	0	0	0
Fzd7	16	8	18	17	6	5	7	8
Gm973	4	3	1	1	2	2	4	3
Gm28411	0	0	0	0	0	0	0	3
Gm39648	0	0	0	0	0	0	3	0
Gm33833	0	0	0	0	0	0	0	0
Sumo1	1029	1066	852	882	729	774	858	776
Nop58	19293	16965	17880	17435	17583	16199	17846	16880
Snord70	0	1	1	3	9	5	6	7
LOC115485825	0	4	0	0	0	0	0	2
Gm26287	8	1	3	2	0	14	5	0
Snord11	0	7	11	12	2	0	7	0
Bmpr2	179	122	127	143	123	134	119	125
Fam117b	532	435	559	469	551	515	517	568
Ica1l	0	0	0	3	0	0	0	0
Wdr12	5438	4899	5324	4910	5357	4767	5183	4682
Carf	20	29	58	16	17	26	15	17
Nbeal1	335	349	251	345	275	305	279	248
Cyp20a1	341	389	363	339	409	316	378	414
Abi2	591	627	623	516	564	591	624	474
Raph1	759	798	851	731	491	611	638	514
Gm11578	0	0	0	0	0	0	0	0
Gm38388	0	0	0	0	0	0	0	0
Gm51626	0	0	0	0	0	0	0	0
Cd28	12	24	10	9	26	11	28	27
2310016D23Rik	0	1	0	0	0	0	0	0
Gm38137	0	0	0	0	0	0	3	0
Gm39650	0	0	0	0	0	0	0	0
Ctla4	302	316	332	322	223	232	244	179
Gm34649	0	0	0	0	0	0	0	0
Icos	63	32	44	36	76	87	84	90
LOC105243939	0	0	0	0	0	0	0	0
9530026F06Rik	0	0	0	0	0	0	0	0
Pard3b	24	16	21	15	15	24	15	16
Pard3bos1	0	0	0	0	0	0	0	0
Pard3bos2	0	0	0	0	0	0	0	0
Gm34881	0	0	0	0	0	0	0	0
Nrp2	28	19	16	18	15	18	10	16
Gm29083	0	0	0	0	0	0	0	0
4930487H11Rik	0	0	0	0	0	0	0	0
Gm4208	0	0	0	0	0	0	0	0
Gm35120	0	0	0	0	0	0	0	0
Gm39652	0	0	0	0	0	0	0	0
Gm35252	0	0	0	0	0	0	0	0
Gm38513	0	0	0	0	0	0	0	0
Ino80d	1566	1435	1491	1454	1374	1277	1246	1065
Ino80dos	6	3	3	1	0	1	0	0
Ndufs1	1238	1173	1320	1046	1100	1229	1275	1153
Eef1b2	27989	25463	28299	24623	24472	24420	26129	23405
Gm26457	14	1	1	10	10	3	0	3
Snora41	75	64	129	116	62	65	90	19
Gpr1	0	0	0	0	0	0	0	0
Zdbf2	0	0	0	7	2	0	0	0
1700039I01Rik	0	0	0	0	0	0	0	0
Gm11608	0	0	0	0	0	0	0	0
Gm23448	0	0	0	0	0	0	0	0
Gm35393	0	0	0	0	0	0	0	0
Adam23	1	0	1	0	0	0	0	1
Gm22281	0	0	0	0	0	0	0	0
Gm39653	0	0	0	0	0	0	0	0
Dytn	0	0	0	0	0	0	0	0
Mdh1b	0	1	1	1	1	2	2	2
Fastkd2	710	765	775	748	797	742	728	842
4933402D24Rik	0	0	0	0	0	0	0	0
Gm13749	0	0	0	0	0	0	0	0
Klf7	1691	1799	1798	1612	1479	1649	1523	1302
Mir6899	0	0	6	0	0	0	0	0
Gm13748	5	1	1	9	1	3	1	10
Gm35880	0	0	0	0	0	0	0	0
Gm39654	0	0	3	0	0	0	0	0
Gm35803	0	0	0	0	0	0	0	0
Gm36148	0	0	0	0	0	0	0	0
Creb1	1680	1392	1635	1447	1608	1408	1579	1238
Mettl21a	117	146	137	139	148	153	160	171
Gm29152	0	0	1	0	0	0	0	0
2810408I11Rik	132	126	166	99	194	117	103	137
Ccnyl1	72	78	92	78	131	85	79	90
Fzd5	100	81	98	117	104	108	64	71
Plekhm3	67	110	113	97	59	36	52	44
Gm51628	0	0	0	0	0	0	0	0
Gm51627	0	0	0	0	0	0	0	0
Gm24788	0	0	0	0	0	0	0	0
Akr1cl	0	0	0	0	0	0	0	0
Cryge	0	0	0	0	0	0	0	0
Crygd	0	0	0	0	0	0	0	0
Crygc	0	0	0	0	0	0	0	0
Crygb	0	0	0	0	0	0	0	0
Cryga	0	0	0	0	0	0	0	0
D630023F18Rik	0	0	0	0	0	0	0	0
Gm36358	0	0	0	0	0	0	0	0
Idh1	46	27	49	52	56	64	58	32
Pikfyve	703	423	559	483	582	546	657	391
Pth2r	0	0	5	10	5	3	15	2
