"","ctrl_1","ctrl_2","ctrl_3","ctrl_4","ctrl_5","tx_1","tx_2","tx_3","tx_4","tx_5"
"Mir103-2",0,0,0,0,0,0,0,0,0,0
"Smox",274,10,260,159,71,151,132,272,126,194
"Adra1d",0,0,0,0,0,0,0,0,0,0
"5330413P13Rik",0,0,0,0,0,0,0,0,0,0
"Prnd",0,0,0,0,0,0,0,0,0,0
"Prnp",371,456,230,375,261,463,438,636,301,542
"Prn",0,0,0,0,0,0,0,0,0,0
"Rassf2",1197,893,1055,280,688,1193,1379,1388,1134,1545
"Tmem230",104,54,187,23,139,202,154,215,113,382
"Cds2",549,503,682,22,297,598,679,908,384,850
"4921508D12Rik",0,0,0,0,0,0,0,0,0,0
"Gpcpd1",1196,1116,372,1093,625,1096,1102,819,593,951
"1110034G24Rik",47,0,83,40,7,26,38,127,37,20
"Chgb",0,0,0,0,0,0,0,0,0,0
"Mcm8",0,25,12,83,66,29,0,50,19,48
"Lrrn4",0,20,0,0,0,0,28,44,0,0
"Crls1",6,33,86,8,38,80,54,58,9,110
"Trmt6",776,957,655,622,814,560,881,1146,519,1169
"Mir3090",0,0,0,0,0,0,0,0,0,0
"Hao1",0,0,0,0,0,0,0,0,0,0
"4930545L23Rik",0,0,0,0,0,0,0,0,0,0
"Mir3963",0,0,0,0,0,0,0,0,0,0
"9630028H03Rik",0,0,0,0,0,0,0,0,0,0
"Lamp5",0,0,0,0,0,0,0,0,0,0
"Ankef1",0,0,0,0,0,0,0,0,0,0
"Snap25",0,0,0,0,0,0,0,0,0,0
"Mkks",181,330,532,30,152,504,550,513,293,470
"Mir1952",0,0,0,0,0,0,0,0,0,0
"Ndufaf5",33,40,172,13,66,48,115,162,41,96
"Esf1",1009,1052,436,583,725,863,867,1046,607,1042
"Flrt3",28,239,48,72,59,127,92,52,13,316
"Kif16bos",0,0,0,0,0,0,0,0,0,0
"Snrpb2",2504,1719,3382,994,1869,3564,3729,4458,2657,3745
"Otor",0,0,0,0,0,0,0,0,0,0
"Pcsk2os1",0,0,0,0,0,0,0,0,0,0
"Bfsp1",0,44,35,0,0,19,20,1,0,14
"Rrbp1",3120,2778,4104,3423,2693,3414,3171,4943,3049,5072
"Snord17",58,0,8,0,54,63,19,0,0,0
"Snx5",2703,2388,4911,1455,1977,4493,3172,5353,3657,4453
"Mgme1",42,127,77,32,17,48,41,61,20,33
"Csrp2bp",52,117,91,55,53,46,122,165,15,287
"Pet117",0,0,0,0,0,0,0,0,0,0
"Rbbp9",1,22,0,0,0,5,1,3,2,0
"Polr3f",83,110,178,31,99,41,101,94,44,177
"Dzank1",0,0,0,0,0,12,0,1,0,0
"Gm38402",0,0,0,0,0,0,0,0,0,0
"Zfp133-ps",0,0,15,0,0,0,0,4,0,0
"Gm561",89,83,56,6,77,133,121,110,93,165
"Scp2d1",0,0,0,0,0,0,0,0,0,0
"Gm14092",0,0,0,0,0,0,0,0,0,0
"Crnkl1",294,170,138,276,324,217,169,206,65,188
"Naa20",88,67,91,0,21,104,105,64,0,110
"Cfap61",0,0,0,0,0,0,0,0,0,0
"Insm1",393,176,286,79,127,773,413,475,456,811
"A930019D19Rik",0,0,0,0,0,0,0,0,0,0
"4933406D12Rik",0,0,0,0,0,0,0,0,0,0
"Nkx2-2",0,0,0,0,0,0,0,0,0,0
"Nkx2-4",0,0,0,0,0,0,0,0,0,0
"6430503K07Rik",0,0,0,0,0,0,0,0,0,0
"AI646519",0,0,0,0,0,0,0,0,0,0
"Pax1",0,0,0,0,0,0,0,0,0,0
"A530006G24Rik",0,0,0,0,0,0,0,0,0,0
"Foxa2",0,0,0,0,0,0,0,0,0,0
"Thbd",0,0,32,0,16,39,50,63,27,50
"Cd93",9,180,61,119,166,17,52,52,121,107
"Sstr4",0,0,0,0,0,0,0,0,0,0
"Cstl1",0,0,0,0,0,0,0,0,0,0
"Nxt1",174,269,223,113,11,236,239,197,156,166
"Napb",17,45,0,0,0,71,43,0,49,0
"Gzf1",111,133,202,36,145,36,97,176,175,128
"Cst11",0,0,0,0,0,0,0,0,0,0
"9230104L09Rik",0,0,0,0,0,0,0,0,0,0
"Cst12",0,0,0,0,0,0,0,0,0,0
"Cst9",0,0,0,0,0,0,0,0,0,0
"Cst8",0,0,0,0,0,0,0,0,0,0
"Cst13",0,0,0,0,0,0,0,0,0,0
"8030411F24Rik",0,0,0,0,0,0,0,0,0,0
"Cst3",15987,17078,11369,6097,9816,32357,31264,31567,26477,31074
"Cst10",0,0,0,0,0,0,0,0,0,0
"Gm14139",0,0,0,0,0,0,0,0,0,0
"Zfp120",536,381,649,493,570,823,624,648,711,838
"Gm14124",0,0,0,0,0,0,0,0,0,0
"Zfp937",77,44,12,2,43,67,22,105,190,31
"Zfp442",83,124,187,97,146,123,161,82,140,66
"Cst7",216,232,478,264,222,410,502,501,368,458
"Zfp345",0,9,0,0,0,0,0,0,0,0
"Acss1",564,797,1245,282,336,614,734,966,689,857
"Vsx1",59,0,0,0,0,42,0,0,0,0
"E130215H24Rik",0,5,34,0,19,0,1,0,0,0
"Pygb",317,334,915,521,183,421,683,1045,572,580
"Entpd6",47,27,21,12,6,99,76,74,19,62
"Gins1",23,20,0,20,11,2,24,33,0,7
"Gm14151",0,0,0,0,0,0,0,0,0,0
"Nanp",15,36,0,0,0,17,43,64,0,28
"4930442J19Rik",0,0,0,0,0,0,0,0,0,0
"Nsfl1c",130,202,285,13,76,218,217,262,215,134
"4921509C19Rik",0,0,0,0,0,0,0,0,0,0
"Fkbp1a",653,618,1791,808,491,1114,1109,1796,1067,1127
"Snph",0,0,0,0,0,35,0,0,0,0
"Sdcbp2",0,67,0,0,53,10,61,0,15,29
"Psmf1",247,27,438,183,39,492,416,495,126,641
"Tmem74b",0,0,0,0,0,0,0,0,0,0
"Rspo4",0,0,0,0,0,0,0,0,0,0
"Fam110a",215,105,950,328,339,897,970,1684,920,917
"Slc52a3",0,28,0,0,10,28,23,55,8,57
"Mir1953",0,0,0,0,0,0,0,0,0,0
"Srxn1",126,212,365,161,92,438,341,468,209,361
"Scrt2",0,0,0,0,0,0,0,0,0,0
"Tcf15",0,0,1,3,4,0,0,0,20,7
"Csnk2a1",1052,706,729,777,897,846,1134,744,716,738
"Sox12",33,1,50,18,1,26,34,7,13,27
"Rbck1",721,623,1406,604,831,1162,963,1739,664,1485
"Zcchc3",96,95,38,79,93,73,82,92,128,90
"Trib3",0,14,82,46,28,0,0,5,0,42
"Nrsn2",0,0,0,0,0,0,0,0,0,0
"Gm14164",0,0,0,0,0,0,0,0,0,0
"Defb20",0,0,0,0,0,0,0,0,0,0
"Defb23",0,0,0,0,0,0,0,0,0,0
"Defb26",0,0,0,0,0,0,0,0,0,0
"Defb28",0,0,0,48,0,0,0,0,0,0
"Defb22",0,0,0,0,0,0,0,0,0,0
"Defb29",0,0,0,0,0,0,0,0,0,0
"Defb19",0,0,0,0,0,0,0,0,0,0
"Rem1",30,32,50,0,17,61,54,32,108,81
"Mcts2",0,0,0,0,36,8,49,16,86,27
"Defb25",0,0,0,0,0,7,0,35,0,1
"Defb21",0,0,0,0,0,0,0,0,0,0
"Defb45",0,0,0,0,0,0,0,0,0,0
"Defb36",0,0,0,0,0,0,0,0,0,0
"Id1",0,6,44,19,29,19,17,33,7,39
"Cox4i2",17,0,27,0,2,0,15,0,0,0
"Dusp15",0,0,0,0,0,0,0,0,0,0
"Tpx2",207,76,177,96,58,130,157,173,38,112
"Foxs1",15,0,87,4,0,0,14,0,0,0
"Mylk2",0,0,0,0,0,0,0,0,0,11
"Mir5622",0,0,0,0,0,0,0,0,0,0
"Ttll9",0,0,0,0,15,0,0,0,0,0
"Xkr7",0,0,0,0,0,0,0,0,0,0
"Pdrg1",438,258,796,337,353,911,1053,1344,856,1124
"Ccm2l",0,0,9,16,25,18,0,0,0,0
"Tm9sf4",268,346,348,71,204,256,353,767,292,364
"Hck",528,1048,1888,612,854,893,1193,1668,749,1502
"Pofut1",150,130,363,190,89,424,274,539,197,351
"Kif3b",852,478,896,429,573,781,657,899,506,592
"Plagl2",113,39,51,75,76,40,76,3,64,38
"2500004C02Rik",16,0,0,0,0,4,14,28,1,22
"Commd7",362,495,1251,447,541,937,961,1211,816,1245
"Dnmt3b",99,27,32,1,59,14,22,89,23,22
"Efcab8",0,0,0,0,0,0,0,36,0,0
"Sun5",0,0,0,0,0,0,0,0,0,0
"Bpifa6",0,0,0,0,0,0,0,0,0,0
"Bpifb6",0,0,0,41,0,0,0,0,0,0
"Bpifb4",0,0,0,0,0,0,0,0,7,0
"Bpifb3",54,0,174,86,30,106,17,118,58,117
"Bpifa3",0,0,0,0,0,0,0,0,0,0
"Bpifb1",0,0,0,0,0,0,0,0,0,0
"Bpifa5",0,0,0,0,0,0,0,0,0,0
"Bpifa1",0,0,0,0,0,0,0,0,0,0
"Bpifb5",4,0,15,0,0,0,0,0,0,0
"Bpifb9a",0,0,0,0,0,0,0,0,0,0
"Cdk5rap1",144,108,222,20,0,202,70,368,14,362
"Bpifb9b",0,0,0,0,0,0,0,0,0,0
"Actl10",0,0,0,0,0,0,0,0,0,0
"E2f1",279,1,761,112,189,213,455,565,276,333
"Zfp341",14,0,0,78,0,46,73,78,6,65
"Necab3",0,0,0,36,0,0,0,0,0,0
"Pxmp4",87,17,135,10,0,36,50,24,30,68
"1700003F12Rik",0,0,0,0,0,18,0,0,47,38
"Eif2s2",3798,2605,3700,1730,2754,4780,4753,4595,4034,5710
"a",0,0,26,0,0,0,27,69,2,0
"Ahcy",21,78,22,58,6,90,46,174,21,160
"2310005A03Rik",0,0,0,0,0,0,0,0,0,0
"Dynlrb1",339,569,470,100,489,532,556,668,602,601
"Map1lc3a",183,42,140,115,28,158,226,162,159,164
"Trp53inp2",182,164,148,45,79,154,347,311,261,255
"Ncoa6",379,196,392,149,287,503,416,480,218,506
"Mir695",0,0,0,0,0,0,0,0,0,0
"Acss2",13,9,18,7,33,90,96,92,50,96
"Acss2os",0,0,0,0,0,0,0,0,0,0
"Ggt7",0,0,12,0,0,0,27,16,45,63
"Trpc4ap",504,502,1400,414,310,845,884,1330,755,1252
"Mir499",0,0,0,0,0,0,0,0,0,0
"Myh7b",0,0,0,0,0,0,0,0,0,0
"Mmp24",0,0,0,0,0,0,0,0,0,0
"Eif6",417,287,560,113,321,528,636,764,558,365
"Procr",381,369,592,101,289,538,628,1146,437,856
"Fam83c",0,0,0,0,0,0,0,0,0,0
"BC029722",324,130,825,23,280,303,535,810,372,861
"Uqcc1",116,124,160,144,237,253,229,505,200,221
"Gdf5",0,0,0,0,0,0,0,0,0,0
"6430550D23Rik",32,0,0,0,0,0,34,0,0,0
"Ergic3",304,242,495,174,57,319,307,488,413,454
"Spag4",0,0,0,0,0,0,0,25,0,0
"Fer1l4",0,1,0,0,0,0,0,0,0,0
"Romo1",2055,1339,2670,1458,1306,3766,3897,5311,3802,4598
"Rbm39",5068,5392,5453,5615,5552,6008,5718,4963,4316,5951
"Nfs1",15,127,152,135,84,184,84,243,136,151
"Scand1",606,773,1245,765,672,1437,1490,1319,1335,2057
"2900097C17Rik",59,0,0,0,0,10,34,0,0,0
"Aar2",137,59,369,0,33,126,68,152,113,131
"Gm14169",0,0,0,0,0,0,0,0,0,0
"4930405A21Rik",0,0,0,0,0,0,12,0,0,0
"Sla2",59,29,451,65,62,278,223,389,63,135
"1110008F13Rik",533,555,1055,236,366,932,1279,1118,1042,1484
"Tgif2",237,242,706,182,314,439,476,717,269,546
"5430405H02Rik",90,18,49,44,3,18,54,57,57,90
"Myl9",50,22,0,0,6,35,8,0,0,22
"Dsn1",98,104,137,0,0,98,124,165,84,135
"Ndrg3",212,133,337,163,63,278,279,288,234,193
"Samhd1",3651,3829,5785,3036,2612,6499,6170,8041,4246,7392
"Tldc2",0,0,0,0,0,0,0,0,0,0
"Mroh8",0,0,0,0,0,7,6,0,0,0
"Manbal",413,498,700,282,348,712,597,793,1046,963
"Ghrh",0,0,0,0,0,0,0,0,0,0
"Src",85,17,165,155,12,175,167,223,117,316
"Nnat",0,0,0,109,0,0,0,0,65,0
"Blcap",145,123,724,41,124,396,293,813,258,604
"Tti1",74,154,171,185,129,177,146,350,177,180
"Tgm2",362,336,844,551,210,199,350,3205,136,722
"1700060C20Rik",0,0,0,0,0,0,0,0,0,0
"Lbp",0,0,8,0,0,11,9,7,0,0
"Mir7685",0,0,0,0,0,0,0,0,0,0
"Bpi",0,0,0,0,0,0,0,0,0,0
"Snhg11",0,0,0,0,30,0,0,89,0,10
"Snhg17",0,21,1,0,9,39,69,172,118,121
"Arhgap40",0,0,0,0,0,0,0,0,0,0
"Adig",0,12,0,0,0,0,0,0,0,11
"Actr5",311,156,505,171,49,177,196,350,165,270
"Slc32a1",0,0,0,0,0,0,0,0,0,0
"Mir3474",0,0,0,0,0,0,0,0,0,0
"Fam83d",34,0,11,0,0,0,44,62,18,14
"Dhx35",52,108,33,5,10,46,74,110,92,22
"4933416E03Rik",0,0,0,0,0,0,0,0,0,0
"Mafb",373,371,324,451,299,556,547,398,141,361
"Gm826",4,0,0,0,0,0,0,0,0,0
"Plcg1",12,6,13,72,9,0,0,0,16,0
"Lpin3",0,0,0,0,0,0,40,74,0,0
"Emilin3",0,0,0,0,0,0,0,0,0,0
"Ptprtos",0,0,0,0,0,0,0,0,0,0
"9430021M05Rik",0,0,0,0,0,0,0,0,0,0
"L3mbtl1",0,0,0,0,0,0,19,0,0,0
"Ift52",596,137,898,234,56,668,596,861,515,822
"Srsf6",1030,1143,1393,389,743,1176,1242,1101,1064,1009
"Sgk2",0,0,0,0,0,1,0,0,0,0
"Gtsf1l",0,0,0,0,0,0,0,0,0,0
"Mir7003",0,0,0,0,0,0,0,0,0,0
"Mybl2",26,56,98,0,62,112,44,119,38,13
"Jph2",0,0,0,0,0,0,0,0,0,0
"Oser1",21,0,15,0,30,1,7,16,0,0
"R3hdml",0,0,0,0,0,0,0,0,0,7
"Hnf4a",0,0,0,0,0,0,0,0,0,0
"2310001K24Rik",0,0,0,0,0,0,0,0,0,0
"Fitm2",39,0,0,2,0,0,25,0,0,0
"Hnf4aos",0,0,0,0,0,0,0,0,0,0
"Ttpal",127,110,277,22,33,287,173,140,198,140
"0610039K10Rik",35,65,0,0,14,21,6,26,10,0
"Serinc3",5948,7109,10067,2503,4206,9809,8454,13673,6119,11548
"Wisp2",0,0,1,0,0,0,0,0,0,29
"Ada",59,42,83,17,131,188,94,175,75,20
"Rims4",0,0,0,0,0,0,0,0,0,0
"Kcnk15",0,0,0,0,0,0,0,0,0,0
"Tomm34",582,443,231,120,201,537,335,409,382,332
"Ywhab",2571,2521,3184,1112,2056,2949,2809,4499,2569,4029
"Pabpc1l",0,0,0,0,0,31,0,0,0,0
"Wfdc15b",0,0,0,0,0,0,0,0,0,0
"Wfdc15a",0,0,0,0,0,0,0,0,0,0
"Wfdc5",0,0,0,0,0,0,0,0,0,0
"Kcns1",0,0,0,0,0,0,12,0,0,0
"Wfdc12",0,0,0,0,0,0,0,0,0,0
"Svs4",0,0,0,0,0,0,0,0,0,0
"Svs5",0,0,0,0,0,0,0,0,0,0
"Svs3a",0,0,0,0,0,0,0,0,0,0
"Mir7678",0,0,0,0,0,0,0,0,0,0
"Svs6",0,0,0,0,0,0,0,0,0,0
"Slpi",353,117,88,244,71,195,447,452,310,203
"Svs2",0,0,0,0,0,0,0,0,0,0
"Svs3b",0,0,0,0,0,0,0,0,0,0
"Matn4",0,0,0,0,0,0,0,0,0,0
"Sys1",614,787,1145,217,357,667,743,1396,1099,1012
"Dbndd2",48,264,54,110,76,240,163,362,96,115
"Trp53tg5",0,0,0,0,0,0,0,0,0,10
"Sdc4",99,239,232,371,164,270,266,294,175,277
"Rbpjl",0,0,0,0,0,0,0,0,0,0
"Spint3",0,0,0,0,0,0,0,0,0,0
"Wfdc6a",0,0,0,0,0,0,0,0,0,0
"Wfdc8",0,0,0,0,0,0,0,0,0,0
"Eppin",0,0,0,0,0,0,0,0,0,0
"Wfdc2",0,42,0,891,0,0,0,1620,0,221
"Pigt",276,172,643,195,152,335,333,602,482,360
"Wfdc6b",0,0,0,0,0,0,0,0,0,0
"Wfdc11",0,0,0,0,0,0,0,0,0,0
"Spint4",0,0,0,0,0,0,0,0,0,0
"Wfdc9",0,0,0,0,0,0,0,0,0,0
"Wfdc3",0,0,0,3,0,0,0,4,0,0
"Wfdc10",0,0,0,0,0,0,0,0,0,0
"Spint5",0,0,0,0,0,0,0,0,0,0
"Wfdc16",0,0,0,0,0,0,0,0,0,0
"Wfdc13",0,0,0,0,0,0,0,0,0,0
"Snx21",80,71,213,19,95,201,213,355,236,342
"Zswim1",30,54,94,15,6,68,12,69,23,56
"Tnnc2",5,5,159,0,41,46,65,2,395,51
"Spata25",0,13,0,0,0,0,0,0,0,0
"Zswim3",15,30,1,67,7,27,0,59,58,123
"Neurl2",19,0,25,0,28,38,30,94,6,44
"Pltp",316,348,860,185,221,1282,848,1762,937,1169
"Acot8",215,87,316,161,284,479,382,484,179,378
