gene	ctrl_01	ctrl_02	ctrl_03	ctrl_04	tx_01	tx_02	tx_03	tx_04
Gm32311	64	75	61	53	73	74	59	67
Stk17b	6889	7469	8335	8510	6946	8346	7765	6992
Hecw2	5	5	4	5	5	13	9	10
Mir7681	0	0	0	0	0	0	0	0
Gm51622	0	0	0	0	0	0	0	0
Gm25829	0	0	0	0	0	0	0	0
Ccdc150	13	11	8	13	12	11	7	15
Gtf3c3	1774	1844	2009	2073	1673	1880	1788	1799
Gm34066	0	0	0	0	0	0	0	0
Pgap1	336	345	335	334	324	346	365	356
Gm51623	0	0	0	1	0	0	1	0
Ankrd44	6730	6732	7120	7070	6184	7682	6988	6471
4930444A19Rik	2	2	2	4	1	1	1	0
Sf3b1	24599	25136	26261	27175	22532	26505	24189	23214
Coq10b	570	578	637	737	571	582	571	558
Hspd1	46547	46556	49484	54595	40685	46747	42546	43537
Hspe1	12810	11775	13268	13841	10710	12360	10875	11818
Mob4	1205	1243	1405	1385	1252	1340	1168	1227
Rftn2	44	24	48	33	33	37	27	29
Gm51743	0	0	0	1	1	0	0	0
Gm10561	1	2	0	0	1	0	0	1
Mars2	1294	1251	1295	1451	1136	1301	1185	1267
Boll	473	393	344	398	477	426	378	378
Plcl1	63	65	70	71	82	82	76	72
Gm6644	15	18	17	20	11	9	16	13
Gm39642	0	0	0	0	0	0	0	0
Gm32949	0	0	0	0	0	1	0	0
9130227L01Rik	0	0	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0	0	0
Hsfy2	0	0	0	0	0	0	0	0
Satb2	2	1	3	3	2	7	1	2
Gm51624	0	0	0	0	0	0	0	0
9130024F11Rik	1	1	1	0	0	0	0	0
Gm38484	0	0	0	0	0	0	0	0
1700126A01Rik	0	0	0	0	0	0	0	0
BC055402	0	0	0	0	1	0	0	0
4930558J18Rik	136	112	122	105	97	128	106	81
1700066M21Rik	641	622	716	681	633	687	599	571
Tyw5	478	471	514	530	480	490	420	494
Maip1	906	889	974	940	832	849	754	802
Gm22371	0	0	0	0	0	0	0	0
LOC115487664	0	0	0	0	0	0	0	0
Spats2l	1	1	2	3	1	4	0	0
LOC115487684	0	0	0	0	0	0	0	0
Kctd18	816	805	886	779	660	797	774	735
Sgo2a	2403	2545	2682	2849	2241	2692	2488	2305
Aox1	0	0	0	3	1	0	1	0
Aox3	3	3	2	0	3	2	1	2
Gm39643	0	0	0	0	0	0	0	0
Aox4	2	1	0	0	1	0	1	0
Aox2	2	3	4	3	2	2	1	0
Gm15759	0	0	0	0	0	0	0	0
Gm39644	7	10	3	12	4	4	4	13
Bzw1	18080	17822	19570	21391	16725	18362	17011	17351
Clk1	5150	4725	4608	4738	5184	5219	4732	4312
Ppil3	1178	1081	1207	1307	1051	1191	1002	1039
Nif3l1	1556	1453	1660	1711	1327	1469	1365	1388
Orc2	4707	4548	4820	5410	4119	4534	4154	4496
Gm23966	14	13	12	15	23	14	16	20
Gm15834	68	68	57	46	55	75	80	54
Fam126b	660	647	673	679	633	654	666	634
Ndufb3	1716	1771	1886	1877	1515	1785	1595	1692
Gm20257	115	86	82	98	105	84	124	86
Flacc1	7	6	9	9	10	12	7	9
Cflar	2612	2599	2651	2639	2240	2687	2464	2538
Gm39646	0	0	0	0	1	0	0	0
Casp8	4127	4130	4567	4634	3880	4414	4245	4031
Gm28802	4	4	3	7	4	1	1	10
Trak2	3486	3347	3506	3603	2985	3423	3306	3142
Stradb	422	455	523	497	400	440	425	360
C2cd6	2	0	3	2	2	2	1	1
Gm29018	0	0	0	0	0	0	0	0
Gm25502	0	0	0	0	0	0	0	0
Tmem237	681	650	748	754	669	717	672	610
Mpp4	9	11	8	8	12	5	2	8
Als2	1188	1268	1255	1222	1017	1324	1094	1053
Gm33667	10	7	8	6	2	4	2	7
Cdk15	2	0	1	0	0	0	0	0
Gm51625	0	0	0	0	1	0	0	0
Gm33724	0	0	0	0	0	0	0	0
Gm33774	0	0	1	0	1	0	0	0
Fzd7	424	459	457	418	366	506	425	398
Gm973	4	1	2	4	5	3	4	6
Gm28411	0	1	0	0	0	0	1	0
Gm39648	1	2	0	0	2	3	0	0
Gm33833	0	0	0	0	0	0	0	0
Sumo1	3065	3032	3237	3407	2888	3031	2814	2989
Nop58	16511	15895	17443	19608	15006	16116	15013	15789
Snord70	20	17	17	19	19	20	16	17
LOC115485825	15	14	8	24	18	18	20	19
Gm26287	16	8	20	22	20	18	9	10
Snord11	4	2	9	7	5	6	5	1
Bmpr2	459	466	445	470	473	492	490	441
Fam117b	3380	3571	3788	3737	2994	3564	3237	2970
Ica1l	42	41	47	29	38	36	34	34
Wdr12	4247	4011	4436	4870	3864	4200	3839	4074
Carf	195	224	187	208	180	192	199	194
Nbeal1	518	602	565	500	609	666	592	547
Cyp20a1	1328	1210	1366	1410	1136	1312	1197	1238
Abi2	417	427	398	408	306	432	384	355
Raph1	1654	1686	1590	1581	1585	1700	1603	1571
Gm11578	0	0	0	0	0	0	0	0
Gm38388	0	0	0	0	0	2	0	0
Gm51626	0	0	0	0	0	0	0	0
Cd28	683	640	674	750	591	672	634	613
2310016D23Rik	13	14	11	6	6	10	7	17
Gm38137	11	9	5	5	6	11	5	5
Gm39650	0	0	0	0	0	0	0	0
Ctla4	1251	1189	1336	1360	1069	1223	1117	1154
Gm34649	2	0	0	1	3	1	1	1
Icos	298	266	300	290	318	354	327	346
LOC105243939	0	0	0	0	0	0	0	0
9530026F06Rik	0	0	0	0	0	0	0	0
Pard3b	0	1	1	1	0	0	0	0
Pard3bos1	0	0	0	0	0	0	0	0
Pard3bos2	1	0	0	0	0	0	0	0
Gm34881	0	0	0	0	0	0	0	0
Nrp2	9	3	4	3	11	9	12	6
Gm29083	0	0	0	0	0	0	0	0
4930487H11Rik	0	0	0	0	0	0	0	0
Gm4208	0	0	0	0	0	1	0	0
Gm35120	0	0	0	0	0	0	0	0
Gm39652	0	0	0	0	0	0	0	0
Gm35252	0	0	0	0	0	0	0	1
Gm38513	0	0	0	0	0	0	0	0
Ino80d	3881	3566	3761	3481	3334	3532	3277	3278
Ino80dos	84	77	65	86	74	91	86	81
Ndufs1	4632	4858	5024	5255	3860	4637	4241	4304
Eef1b2	40929	39316	42936	45280	34949	40522	36573	36379
Gm26457	30	22	38	44	40	26	27	27
Snora41	91	81	85	117	94	96	87	105
Gpr1	1	1	3	1	1	3	2	2
Zdbf2	4	2	2	5	1	2	3	1
1700039I01Rik	0	0	0	0	0	0	0	0
Gm11608	0	0	0	0	0	0	0	0
Gm23448	0	0	0	0	0	0	0	0
Gm35393	0	0	0	0	0	0	0	0
Adam23	1	0	0	0	1	0	0	0
Gm22281	0	0	0	0	0	0	0	0
Gm39653	0	0	0	0	0	0	0	0
Dytn	0	0	0	0	0	0	0	0
Mdh1b	1	0	1	0	0	0	0	1
Fastkd2	1986	1847	2005	2226	1796	1930	1779	1787
4933402D24Rik	3	4	4	4	6	3	8	4
Gm13749	0	0	0	0	0	0	0	0
Klf7	1035	1077	1122	1115	1006	1172	1032	1080
Mir6899	0	0	0	0	0	0	0	0
Gm13748	7	7	9	9	11	10	7	10
Gm35880	0	0	0	0	0	0	0	0
Gm39654	2	3	0	1	0	5	0	1
Gm35803	0	2	2	0	1	0	2	0
Gm36148	0	0	0	0	0	0	0	0
Creb1	4515	4521	4826	4955	4194	4724	4394	4105
Mettl21a	652	612	674	647	585	622	575	564
Gm29152	1	0	0	0	0	1	1	0
